2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1161,24,0,0,39,0,0,0,0,0,1183,7918,10821,29520,11490
0,0,0,0,1029,0,14,0,0,680,71,0,4086,26415,23220
0,162,0,13253,0,0,20385,0,0,0,15711,0,1015,6,480
0,0,0,0,0,8,0,0,0,0,6944,897,15660,12160,8217
0,0,0,10268,5104,2375,7179,1058,0,0,1295,628,1859,1878,2711
0,0,0,0,0,0,0,0,0,0,923,7276,6270,8644,7240
4114,5438,15848,450,3321,0,0,0,900,0,0,0,0,0,0
1233,2419,1533,911,1212,766,541,1116,5445,0,3298,5044,4049,0,0
900,3830,1836,3774,396,1800,6,453,900,3690,0,3206,4185,900,1225
0,0,0,0,0,0,0,0,0,0,658,4441,5155,7554,9145
0,1817,1458,11999,792,1710,604,0,585,468,3661,587,91,696,1129
0,0,0,0,0,0,0,0,0,0,5193,9755,0,9720,0
5160,0,0,0,0,0,0,0,0,0,0,0,0,1890,17317
0,0,0,0,0,0,0,0,0,0,0,18,9240,6525,8101
0,1475,0,0,8550,0,0,0,0,0,11049,0,11,26,2094
548,169,410,956,819,1108,5646,0,0,2639,8389,0,0,0,0
0,20,0,0,0,0,0,0,0,0,0,1597,0,17347,1283
2437,1398,1035,2120,675,0,640,765,585,675,360,450,581,810,4781
0,0,3969,5376,0,0,0,0,0,0,7560,0,29,36,0
10350,0,0,0,0,0,0,0,5040,0,0,9,0,0,0
0,0,0,0,0,0,0,0,0,0,503,3661,3490,3441,3127
0,0,0,0,0,0,0,0,0,0,9608,736,719,2784,375
0,0,3175,4529,1374,581,0,0,0,0,141,791,1212,1083,1215
0,0,0,2587,2364,1004,2800,809,504,1678,969,500,95,657,63
0,0,0,0,0,0,0,0,0,13338,0,0,0,1,0
0,0,11991,600,0,0,0,0,0,0,18,0,0,16,0
0,743,8820,0,0,0,0,0,0,0,0,20,86,0,130
0,0,0,0,0,0,0,0,0,0,232,561,6859,908,920
0,0,0,0,0,0,0,0,0,0,0,0,0,4504,4322
0,0,0,0,94,6,0,0,0,0,6771,0,0,0,1440
0,0,0,0,0,0,0,0,0,0,0,0,0,7227,0
0,0,0,0,0,0,0,0,0,0,279,672,2478,1855,1521
0,0,783,0,0,0,0,0,0,0,0,424,990,2372,2064
0,0,0,1350,0,0,1521,0,0,664,2748,4,24,9,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5610
3520,0,0,0,0,0,0,0,8,0,120,70,103,67,77
0,0,0,0,0,0,0,0,0,0,0,2,3780,0,135
0,0,0,0,0,0,0,0,0,0,0,0,0,31,2504
0,0,0,0,0,0,0,0,0,0,8,128,534,1334,432
0,0,0,0,0,0,0,0,0,0,2184,0,0,0,0
0,0,0,0,0,0,0,0,0,0,37,219,624,805,419
0,0,0,0,0,0,0,0,0,0,0,0,0,460,1485
0,0,0,0,0,0,0,0,0,0,0,482,8,302,979
0,0,0,0,0,0,0,0,0,1749,0,0,0,0,0
0,0,0,900,0,0,450,0,0,0,0,0,0,0,0
