index,0
2008,7118100
2009,8940988
2010,2595303
2011,3615120
2012,5521293
2013,22744845
2014,7472795
2015,2769160
2016,4434704
2017,7135607
2018,7486063
2019,5934826
2020,6078288
2021,9851942
2022,10945282
