2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
84564,52826,0,14476,17280,20183,51057,6404,1214,64953,34563,761,24,74,18
0,0,0,0,0,0,0,0,0,23011,43676,62067,65986,58993,66950
0,0,0,4899,0,0,43200,108864,69830,72229,5584,0,0,0,6
3990,20729,282,20215,16804,25998,18303,12990,16902,23085,57424,0,16025,8360,49011
18679,0,0,10600,0,0,67907,23940,80379,43954,18421,67,4673,8153,277
0,0,0,78688,31515,19008,50464,6021,0,0,9847,3139,15134,8320,40316
10920,115,0,210,10196,2245,0,0,0,0,6250,38555,26514,113172,50283
0,4523,0,55460,0,0,95130,0,0,0,59150,0,4176,13,3232
1882,30,0,0,2262,0,0,0,0,0,3117,29017,28372,48444,49392
12298,4032,3206,6594,3300,0,3381,3740,2760,3302,1762,2202,2279,10522,85465
22908,10651,12808,10188,14081,19565,7169,10545,26450,8550,0,0,0,0,0
0,5251,4828,80298,5622,11967,2492,0,3465,2248,13260,1625,376,3715,6151
25642,0,0,0,0,0,0,0,0,0,13502,10010,22027,19196,49304
0,0,42795,35690,0,0,0,0,0,0,25767,0,257,208,0
0,0,0,0,0,0,0,0,0,0,3100,20068,17624,23060,34815
9730,10802,40778,5336,19384,0,0,0,4800,0,0,0,0,0,0
4699,6110,5504,3317,5310,5779,3887,2774,13199,0,11616,19099,9316,0,0
0,0,0,0,7492,0,232,0,0,2646,355,0,9808,35944,32351
0,0,0,0,0,30,0,0,0,0,26273,1999,23780,21867,14068
0,0,0,0,0,0,0,0,0,0,2436,15786,19639,22561,27178
1417,272,1015,1979,2530,5336,11983,0,0,30563,26808,0,0,0,0
0,0,0,0,0,0,0,0,0,81606,0,0,0,2,0
0,0,12759,28810,12087,5145,0,0,0,0,634,3124,3703,4567,5799
0,0,0,7992,8817,4092,13675,3476,9472,8140,5565,2832,515,10477,156
0,4297,0,0,15438,0,0,0,0,0,42832,0,13,6,7986
0,0,0,0,0,0,0,0,0,0,19372,17310,0,17107,0
0,0,0,0,0,0,0,0,0,0,1192,8828,9688,15454,15587
0,0,49366,825,0,0,0,0,0,0,48,0,0,124,0
1625,12918,1269,3735,1288,2960,19,713,1375,5638,0,4741,5277,1472,3360
0,0,0,7200,0,0,24336,0,0,2292,9744,4,226,2,33
0,20,0,0,0,0,0,0,0,0,0,8719,0,29100,5350
0,0,0,0,0,0,0,0,0,0,0,717,13050,12955,15182
17423,0,0,0,0,0,0,0,20333,0,0,9,0,0,0
7800,0,0,0,0,0,0,0,0,0,0,0,0,2012,25608
0,0,0,0,458,4,0,0,0,0,31225,0,0,0,2080
0,0,0,0,0,0,0,0,0,0,16205,2486,1548,10368,790
0,0,0,0,0,0,0,0,0,0,0,0,0,14346,15434
0,0,0,0,0,0,0,0,0,0,730,1994,18092,3014,2426
0,0,3654,0,0,0,0,0,0,0,0,1311,2577,6525,5823
0,0,0,0,0,0,0,0,0,0,480,1843,6785,4530,4458
16063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14366,0,0,0,0,0,0,0,20,0,109,194,433,100,257
0,2143,9977,0,0,0,0,0,0,0,0,32,584,0,277
0,0,0,0,0,0,0,0,0,0,0,0,0,11924,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7914
0,0,0,0,0,0,0,0,0,0,191,1549,1864,2268,1866
0,0,0,0,0,0,0,0,0,7476,0,0,178,0,0
0,0,0,0,0,0,0,0,0,0,45,832,1753,2529,1713
0,0,0,0,0,0,0,0,0,0,0,2144,28,894,2789
0,0,0,0,0,0,0,0,5220,0,0,0,0,0,212
0,0,4103,0,0,0,0,0,0,0,0,0,0,583,0
0,0,0,0,2720,0,1600,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,3824,0,210
0,0,0,0,0,0,0,0,0,3723,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,93,2860,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,634,2223
0,0,0,0,0,0,0,0,0,0,0,394,169,844,1145
0,0,0,1680,0,0,755,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2357,0,0,0,0
0,0,0,0,0,0,0,0,0,0,203,106,339,356,958
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1927
0,0,0,0,0,0,0,0,0,0,150,209,0,878,503
0,0,0,0,0,0,0,0,0,1579,0,0,0,0,31
0,0,0,0,0,0,0,0,0,0,0,273,10,86,1021
0,0,0,0,0,0,0,0,0,0,0,175,121,445,641
0,0,0,0,0,0,0,0,0,0,0,0,0,46,952
722,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,670
580,30,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,123,0,484
0,0,0,570,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,35,287,90
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,33,110,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,29,20,84
0,0,0,0,0,0,0,0,0,0,0,46,20,65,0
0,0,0,0,0,0,0,0,0,0,0,95,21,0,0
0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,48,51
