País,2008.1,2009.1,2010.1,2011.1,2012.1,2013.1,2014.1,2015.1,2016.1,2017.1,2018.1,2019.1,2020.1,2021.1,2022.1,Valor Total (US$)
Chipre,0,0,0,0,0,0,0,0,0,0,480,1843,6785,4530,4458,18096
"Eslovaca, Republica",16063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16063
"Coreia, Republica Sul",14366,0,0,0,0,0,0,0,20,0,109,194,433,100,257,15479
Vietnã,0,2143,9977,0,0,0,0,0,0,0,0,32,584,0,277,13013
Nova Caledônia,0,0,0,0,0,0,0,0,0,0,0,0,0,11924,0,11924
Granada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7914,7914
Antígua e Barbuda,0,0,0,0,0,0,0,0,0,0,191,1549,1864,2268,1866,7738
Camarões,0,0,0,0,0,0,0,0,0,7476,0,0,178,0,0,7654
Tailândia,0,0,0,0,0,0,0,0,0,0,45,832,1753,2529,1713,6872
Barein,0,0,0,0,0,0,0,0,0,0,0,2144,28,894,2789,5855
Áustria,0,0,0,0,0,0,0,0,5220,0,0,0,0,0,212,5432
Hungria,0,0,4103,0,0,0,0,0,0,0,0,0,0,583,0,4686
Trinidade Tobago,0,0,0,0,2720,0,1600,0,0,0,0,0,0,0,0,4320
Equador,0,0,0,0,0,0,0,0,0,0,0,3,3824,0,210,4037
Letônia,0,0,0,0,0,0,0,0,0,3723,0,0,0,0,0,3723
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,93,2860,0,0,2953
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,634,2223,2857
Barbados,0,0,0,0,0,0,0,0,0,0,0,394,169,844,1145,2552
Aruba,0,0,0,1680,0,0,755,0,0,0,0,0,0,0,0,2435
São Tomé e Príncipe,0,0,0,0,0,0,0,0,0,0,2357,0,0,0,0,2357
"Cayman, Ilhas",0,0,0,0,0,0,0,0,0,0,203,106,339,356,958,1962
Moçambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1927,1927
Turquia,0,0,0,0,0,0,0,0,0,0,150,209,0,878,503,1740
Bulgária,0,0,0,0,0,0,0,0,0,1579,0,0,0,0,31,1610
India,0,0,0,0,0,0,0,0,0,0,0,273,10,86,1021,1390
Ilha de Man,0,0,0,0,0,0,0,0,0,0,0,175,121,445,641,1382
Brasil,0,0,0,0,0,0,0,0,0,0,0,0,0,46,952,998
Namibia,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722
Omã,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,670
Honduras,580,30,0,0,0,0,0,0,0,0,0,0,0,0,0,610
Croácia,0,0,0,0,0,0,0,0,0,0,0,0,123,0,484,607
Congo,0,0,0,570,0,0,0,0,0,0,0,0,0,0,0,570
Irã,0,0,0,0,0,0,0,0,0,0,0,0,35,287,90,412
Costa Rica,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
Malásia,0,0,0,0,0,0,0,0,0,0,33,110,0,0,0,143
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,29,20,84,133
